customer_id,province,municipality,customer_type,property_type,service_type,billing_date,billing_amount,payment_amount,payment_method,payment_status,outstanding_balance,days_overdue
CUST009414,Limpopo,Municipality_C,Residential,House,Water,2025-03-01,934.16,934.16,Card,Paid,0,0
CUST009415,KwaZulu-Natal,Municipality_G,Residential,House,Electricity,2025-04-01,1310.78,1310.78,EFT,Paid,0,0
CUST009416,Gauteng,Municipality_A,Residential,House,Waste,2025-05-01,231.62,231.62,EFT,Paid,0,0
CUST009417,KwaZulu-Natal,Municipality_G,Residential,House,Electricity,2025-06-01,1262.18,1262.18,EFT,Paid,0,0
CUST009418,Limpopo,Municipality_C,Residential,Apartment,Water,2025-07-01,920.56,920.56,Card,Paid,0,0
CUST009419,Gauteng,Municipality_A,Residential,House,Waste,2025-08-01,340.5,340.5,Card,Paid,0,0
CUST009420,Mpumalanga,Municipality_F,Residential,House,Waste,2025-09-01,387.7,387.7,EFT,Paid,0,0
CUST009421,Limpopo,Municipality_C,Residential,Apartment,Water,2025-10-01,642.73,642.73,EFT,Paid,0,0
CUST009422,Mpumalanga,Municipality_F,Residential,Apartment,Water,2025-11-01,939.78,939.78,EFT,Paid,0,0
CUST009423,Mpumalanga,Municipality_E,Residential,Apartment,Electricity,2025-12-01,1448.11,1448.11,Cash,Paid,0,0
CUST009424,Limpopo,Municipality_C,Residential,House,Water,2024-01-01,826.48,0,None,Unpaid,826.48,273
CUST009425,Mpumalanga,Municipality_F,Residential,House,Electricity,2024-02-01,1497.86,1497.86,EFT,Paid,0,0
CUST009426,KwaZulu-Natal,Municipality_G,Residential,House,Water,2024-03-01,755.78,755.78,Card,Paid,0,0
CUST009427,Gauteng,Municipality_B,Business,House,Electricity,2024-04-01,3389.48,3389.48,Card,Paid,0,0
CUST009428,Gauteng,Municipality_A,Business,Apartment,Water,2024-05-01,2736.63,2736.63,Card,Paid,0,0
CUST009429,Mpumalanga,Municipality_F,Residential,Apartment,Water,2024-06-01,742.55,0,None,Unpaid,742.55,196
CUST009430,Gauteng,Municipality_B,Residential,Apartment,Water,2024-07-01,895.55,895.55,Card,Paid,0,0
CUST009431,Limpopo,Municipality_D,Residential,Commercial,Water,2024-08-01,871.09,871.09,EFT,Paid,0,0
CUST009432,Mpumalanga,Municipality_F,Residential,Apartment,Electricity,2024-09-01,1345.62,1345.62,EFT,Paid,0,0
CUST009433,Gauteng,Municipality_A,Residential,House,Water,2024-10-01,901.95,454.88,Cash,Partial,447.07,71
CUST009434,Limpopo,Municipality_D,Residential,House,Electricity,2024-11-01,1492.62,650.73,EFT,Partial,841.89,80
CUST009435,Gauteng,Municipality_B,Residential,House,Water,2024-12-01,648.95,648.95,EFT,Paid,0,0
CUST009436,Limpopo,Municipality_D,Residential,Apartment,Electricity,2025-01-01,971.7,971.7,Card,Paid,0,0
CUST009437,Gauteng,Municipality_A,Residential,Apartment,Water,2025-02-01,778.98,778.98,Cash,Paid,0,0
CUST009438,KwaZulu-Natal,Municipality_G,Residential,House,Electricity,2025-03-01,1593.2,1593.2,EFT,Paid,0,0
CUST009439,Limpopo,Municipality_D,Residential,House,Waste,2025-04-01,430.53,430.53,Card,Paid,0,0
CUST009440,Mpumalanga,Municipality_F,Residential,Apartment,Electricity,2025-05-01,958.95,749.29,Card,Partial,209.66,85
CUST009441,Limpopo,Municipality_C,Residential,House,Electricity,2025-06-01,1190.14,1190.14,Card,Paid,0,0
CUST009442,Limpopo,Municipality_C,Residential,Commercial,Electricity,2025-07-01,1196.91,1196.91,EFT,Paid,0,0
CUST009443,Gauteng,Municipality_B,Residential,House,Waste,2025-08-01,446.23,446.23,Card,Paid,0,0
CUST009444,Gauteng,Municipality_B,Business,Apartment,Water,2025-09-01,2578.16,2578.16,Card,Paid,0,0
CUST009445,Mpumalanga,Municipality_F,Business,House,Water,2025-10-01,2028.08,2028.08,EFT,Paid,0,0
CUST009446,KwaZulu-Natal,Municipality_G,Residential,House,Water,2025-11-01,811.32,811.32,Card,Paid,0,0
CUST009447,Mpumalanga,Municipality_F,Residential,House,Water,2025-12-01,833.92,645.28,EFT,Partial,188.64,77
CUST009448,Limpopo,Municipality_D,Residential,House,Water,2024-01-01,622.37,622.37,Card,Paid,0,0
CUST009449,Limpopo,Municipality_C,Residential,House,Waste,2024-02-01,352.08,352.08,Card,Paid,0,0
CUST009450,Gauteng,Municipality_A,Residential,House,Water,2024-03-01,972.72,972.72,EFT,Paid,0,0
CUST009451,Limpopo,Municipality_C,Business,Commercial,Water,2024-04-01,2291.57,1218.46,Card,Partial,1073.11,81
CUST009452,Mpumalanga,Municipality_E,Residential,House,Electricity,2024-05-01,1495.04,1495.04,EFT,Paid,0,0
CUST009453,Limpopo,Municipality_C,Residential,Apartment,Electricity,2024-06-01,1137.14,711.45,Card,Partial,425.69,5
CUST009454,Gauteng,Municipality_B,Residential,House,Electricity,2024-07-01,1296.76,1296.76,Cash,Paid,0,0
CUST009455,Mpumalanga,Municipality_E,Residential,Apartment,Water,2024-08-01,845.08,845.08,Card,Paid,0,0
CUST009456,Limpopo,Municipality_C,Residential,Apartment,Electricity,2024-09-01,1617.78,1617.78,Card,Paid,0,0
CUST009457,Mpumalanga,Municipality_F,Residential,House,Water,2024-10-01,648.98,204.88,Card,Partial,444.1,84
CUST009458,Limpopo,Municipality_D,Residential,Apartment,Waste,2024-11-01,423.88,423.88,Cash,Paid,0,0
CUST009459,Mpumalanga,Municipality_F,Residential,Apartment,Waste,2024-12-01,411.11,0,None,Unpaid,411.11,182
CUST009460,Mpumalanga,Municipality_E,Residential,Apartment,Water,2025-01-01,525.81,525.81,EFT,Paid,0,0
CUST009461,Gauteng,Municipality_B,Residential,House,Water,2025-02-01,920.7,335.81,EFT,Partial,584.89,47
CUST009462,Gauteng,Municipality_A,Residential,Commercial,Electricity,2025-03-01,1297.15,1297.15,Card,Paid,0,0
CUST009463,Mpumalanga,Municipality_E,Residential,Apartment,Property Rates,2025-04-01,1091.08,1091.08,Card,Paid,0,0
CUST009464,Limpopo,Municipality_C,Residential,Apartment,Waste,2025-05-01,384.54,107.19,Card,Partial,277.35,12
CUST009465,Gauteng,Municipality_A,Residential,House,Water,2025-06-01,488.38,148.72,Card,Partial,339.66,35
CUST009466,Gauteng,Municipality_B,Residential,House,Water,2025-07-01,491.36,116.65,EFT,Partial,374.71,51
CUST009467,Gauteng,Municipality_A,Residential,House,Water,2025-08-01,557.12,388.83,Debit Order,Partial,168.29,43
CUST009468,Mpumalanga,Municipality_E,Residential,Commercial,Electricity,2025-09-01,1370.3,1370.3,EFT,Paid,0,0
CUST009469,Gauteng,Municipality_B,Residential,House,Water,2025-10-01,533.9,533.9,Cash,Paid,0,0
CUST009470,Limpopo,Municipality_D,Residential,House,Electricity,2025-11-01,1349.16,1349.16,Cash,Paid,0,0
CUST009471,Limpopo,Municipality_D,Residential,House,Waste,2025-12-01,239.04,130.46,Card,Partial,108.58,11
CUST009472,Limpopo,Municipality_D,Residential,House,Water,2024-01-01,700.71,492.48,Card,Partial,208.23,23
CUST009473,Gauteng,Municipality_B,Residential,Apartment,Water,2024-02-01,795.21,795.21,EFT,Paid,0,0
CUST009474,Mpumalanga,Municipality_F,Residential,Apartment,Water,2024-03-01,545.4,288.88,Card,Partial,256.52,88
CUST009475,Gauteng,Municipality_B,Residential,Commercial,Electricity,2024-04-01,1452.43,1452.43,EFT,Paid,0,0
CUST009476,Gauteng,Municipality_B,Business,House,Waste,2024-05-01,1646.85,1646.85,Card,Paid,0,0
CUST009477,Limpopo,Municipality_C,Residential,House,Electricity,2024-06-01,875.03,875.03,Card,Paid,0,0
CUST009478,Limpopo,Municipality_D,Residential,Apartment,Electricity,2024-07-01,1387.76,1387.76,EFT,Paid,0,0
CUST009479,Limpopo,Municipality_C,Residential,House,Water,2024-08-01,854.62,854.62,EFT,Paid,0,0
CUST009480,Mpumalanga,Municipality_E,Residential,House,Property Rates,2024-09-01,1263.23,1263.23,EFT,Paid,0,0
CUST009481,Mpumalanga,Municipality_F,Residential,House,Electricity,2024-10-01,1559.12,1559.12,Card,Paid,0,0
CUST009482,Limpopo,Municipality_D,Residential,House,Waste,2024-11-01,297.08,297.08,EFT,Paid,0,0
CUST009483,KwaZulu-Natal,Municipality_H,Residential,Apartment,Electricity,2024-12-01,1564.33,595.76,Card,Partial,968.57,78
CUST009484,Gauteng,Municipality_A,Residential,Apartment,Electricity,2025-01-01,1404.03,1404.03,EFT,Paid,0,0
CUST009485,Gauteng,Municipality_A,Residential,House,Electricity,2025-02-01,1561.71,984.96,EFT,Partial,576.75,31
CUST009486,Gauteng,Municipality_A,Business,Apartment,Water,2025-03-01,2229.77,2229.77,Card,Paid,0,0
CUST009487,Mpumalanga,Municipality_F,Residential,House,Water,2025-04-01,705.63,705.63,EFT,Paid,0,0
CUST009488,Limpopo,Municipality_C,Residential,House,Water,2025-05-01,549.59,549.59,EFT,Paid,0,0
CUST009489,Limpopo,Municipality_D,Residential,House,Electricity,2025-06-01,1428.4,1428.4,Debit Order,Paid,0,0
CUST009490,Limpopo,Municipality_D,Residential,House,Electricity,2025-07-01,1597.52,1597.52,Card,Paid,0,0
CUST009491,Mpumalanga,Municipality_E,Residential,House,Water,2025-08-01,576.32,576.32,EFT,Paid,0,0
CUST009492,Limpopo,Municipality_C,Residential,Apartment,Electricity,2025-09-01,1086.7,1086.7,EFT,Paid,0,0
CUST009493,Limpopo,Municipality_D,Residential,House,Electricity,2025-10-01,1408.04,1408.04,EFT,Paid,0,0
CUST009494,Limpopo,Municipality_D,Residential,Apartment,Electricity,2025-11-01,1329.56,1329.56,Card,Paid,0,0
CUST009495,Mpumalanga,Municipality_E,Business,House,Electricity,2025-12-01,2899.1,2899.1,Card,Paid,0,0
CUST009496,Limpopo,Municipality_C,Residential,House,Water,2024-01-01,915.32,379.38,EFT,Partial,535.94,31
CUST009497,Mpumalanga,Municipality_F,Business,House,Electricity,2024-02-01,2694.89,2694.89,Card,Paid,0,0
CUST009498,Mpumalanga,Municipality_F,Residential,House,Electricity,2024-03-01,1099.38,1099.38,Cash,Paid,0,0
CUST009499,Limpopo,Municipality_C,Residential,House,Electricity,2024-04-01,1199.55,1199.55,Card,Paid,0,0
CUST009500,Mpumalanga,Municipality_F,Residential,House,Water,2024-05-01,781.66,781.66,EFT,Paid,0,0
CUST009501,Mpumalanga,Municipality_E,Residential,House,Electricity,2024-06-01,955.12,955.12,Card,Paid,0,0
CUST009502,Mpumalanga,Municipality_F,Residential,House,Water,2024-07-01,642.64,642.64,EFT,Paid,0,0
CUST009503,Limpopo,Municipality_D,Residential,Apartment,Electricity,2024-08-01,1027.53,327.45,Cash,Partial,700.08,69
CUST009504,Mpumalanga,Municipality_F,Residential,House,Water,2024-09-01,967.81,967.81,Card,Paid,0,0
CUST009505,Limpopo,Municipality_C,Residential,House,Water,2024-10-01,715.6,234.45,Card,Partial,481.15,71
CUST009506,Limpopo,Municipality_C,Residential,House,Electricity,2024-11-01,1543.51,580.99,Card,Partial,962.52,7
CUST009507,Mpumalanga,Municipality_E,Residential,House,Electricity,2024-12-01,879.52,879.52,Card,Paid,0,0
CUST009508,Gauteng,Municipality_A,Residential,House,Water,2025-01-01,642.09,485.09,EFT,Partial,157,33
CUST009509,Gauteng,Municipality_B,Residential,House,Water,2025-02-01,620.05,620.05,Card,Paid,0,0
CUST009510,Limpopo,Municipality_C,Residential,Commercial,Waste,2025-03-01,385.36,385.36,Cash,Paid,0,0
CUST009511,Limpopo,Municipality_D,Residential,House,Waste,2025-04-01,342.74,235.62,Cash,Partial,107.12,25
CUST009512,KwaZulu-Natal,Municipality_G,Residential,Commercial,Electricity,2025-05-01,1039.06,401.91,EFT,Partial,637.15,2
CUST009513,Limpopo,Municipality_C,Business,House,Water,2025-06-01,2733.94,1310.09,Card,Partial,1423.85,28
CUST009514,Gauteng,Municipality_A,Residential,House,Water,2025-07-01,680.56,680.56,Card,Paid,0,0
CUST009515,Mpumalanga,Municipality_F,Business,Commercial,Water,2025-08-01,2200.32,2200.32,EFT,Paid,0,0
CUST009516,Limpopo,Municipality_D,Residential,House,Water,2025-09-01,649.09,649.09,Debit Order,Paid,0,0
CUST009517,KwaZulu-Natal,Municipality_G,Residential,Commercial,Electricity,2025-10-01,1420.15,1420.15,EFT,Paid,0,0
CUST009518,Mpumalanga,Municipality_E,Residential,House,Waste,2025-11-01,344.38,344.38,EFT,Paid,0,0
CUST009519,Limpopo,Municipality_D,Residential,House,Waste,2025-12-01,306.64,306.64,Card,Paid,0,0
CUST009520,KwaZulu-Natal,Municipality_H,Business,House,Electricity,2024-01-01,4075.02,4075.02,Card,Paid,0,0
CUST009521,Gauteng,Municipality_A,Business,House,Water,2024-02-01,2049.4,2049.4,Card,Paid,0,0
CUST009522,Limpopo,Municipality_D,Residential,House,Electricity,2024-03-01,1586.8,1586.8,EFT,Paid,0,0
CUST009523,Gauteng,Municipality_A,Residential,House,Water,2024-04-01,604.12,604.12,EFT,Paid,0,0
CUST009524,Limpopo,Municipality_D,Residential,House,Water,2024-05-01,695.82,695.82,Card,Paid,0,0
CUST009525,Mpumalanga,Municipality_E,Residential,Apartment,Electricity,2024-06-01,1470.99,1071.05,EFT,Partial,399.94,88
CUST009526,Limpopo,Municipality_D,Residential,House,Water,2024-07-01,624.5,624.5,EFT,Paid,0,0
CUST009527,Gauteng,Municipality_B,Residential,House,Electricity,2024-08-01,1086.5,1086.5,EFT,Paid,0,0
CUST009528,Mpumalanga,Municipality_F,Residential,House,Water,2024-09-01,838.07,838.07,EFT,Paid,0,0
CUST009529,Gauteng,Municipality_B,Residential,House,Water,2024-10-01,902.44,588.32,Card,Partial,314.12,14
CUST009530,Mpumalanga,Municipality_F,Residential,House,Electricity,2024-11-01,1187.67,1187.67,EFT,Paid,0,0
CUST009531,Limpopo,Municipality_D,Residential,House,Electricity,2024-12-01,1162.66,769.56,EFT,Partial,393.1,10
CUST009532,Limpopo,Municipality_D,Residential,House,Waste,2025-01-01,299.59,103.25,Card,Partial,196.34,56
CUST009533,Gauteng,Municipality_A,Business,House,Water,2025-02-01,1938.31,1938.31,EFT,Paid,0,0
CUST009534,Limpopo,Municipality_C,Business,Apartment,Water,2025-03-01,2731.91,2731.91,EFT,Paid,0,0
CUST009535,Limpopo,Municipality_C,Residential,Apartment,Electricity,2025-04-01,1579.29,1579.29,EFT,Paid,0,0
CUST009536,Limpopo,Municipality_D,Residential,House,Water,2025-05-01,927.61,927.61,Cash,Paid,0,0
CUST009537,Mpumalanga,Municipality_F,Residential,Apartment,Waste,2025-06-01,389.4,389.4,Card,Paid,0,0
CUST009538,Limpopo,Municipality_C,Residential,House,Electricity,2025-07-01,849,849,EFT,Paid,0,0
CUST009539,Mpumalanga,Municipality_F,Residential,House,Electricity,2025-08-01,891.59,891.59,EFT,Paid,0,0
CUST009540,Mpumalanga,Municipality_F,Residential,Commercial,Electricity,2025-09-01,1234.82,529.08,Cash,Partial,705.74,10
CUST009541,Limpopo,Municipality_D,Residential,House,Waste,2025-10-01,382.37,239.23,Cash,Partial,143.14,89
CUST009542,KwaZulu-Natal,Municipality_H,Business,House,Waste,2025-11-01,1526.07,1159.21,Card,Partial,366.86,14
CUST009543,Gauteng,Municipality_A,Residential,Apartment,Water,2025-12-01,912.17,912.17,Card,Paid,0,0
CUST009544,Limpopo,Municipality_C,Residential,Apartment,Waste,2024-01-01,289.14,289.14,Card,Paid,0,0
CUST009545,Mpumalanga,Municipality_F,Business,House,Electricity,2024-02-01,4010.74,1144.88,Card,Partial,2865.86,1
CUST009546,Gauteng,Municipality_A,Residential,House,Water,2024-03-01,759.99,333.21,Card,Partial,426.78,25
CUST009547,Gauteng,Municipality_A,Residential,House,Electricity,2024-04-01,857.88,857.88,Cash,Paid,0,0
CUST009548,Gauteng,Municipality_A,Residential,House,Water,2024-05-01,891.03,245.79,EFT,Partial,645.24,29
CUST009549,Mpumalanga,Municipality_E,Residential,House,Electricity,2024-06-01,1179.94,1179.94,Card,Paid,0,0
CUST009550,Limpopo,Municipality_C,Residential,House,Water,2024-07-01,750.13,750.13,EFT,Paid,0,0
CUST009551,Limpopo,Municipality_C,Residential,House,Water,2024-08-01,875.71,496.44,EFT,Partial,379.27,71
CUST009552,Limpopo,Municipality_C,Residential,Apartment,Water,2024-09-01,521.75,412.59,Card,Partial,109.16,81
CUST009553,Gauteng,Municipality_A,Business,House,Water,2024-10-01,3241.25,3241.25,EFT,Paid,0,0
CUST009554,Gauteng,Municipality_A,Residential,Apartment,Electricity,2024-11-01,1026.29,1026.29,EFT,Paid,0,0
CUST009555,KwaZulu-Natal,Municipality_H,Residential,House,Waste,2024-12-01,246.29,246.29,Card,Paid,0,0
CUST009556,Mpumalanga,Municipality_F,Business,Apartment,Electricity,2025-01-01,2834.21,1354.61,Card,Partial,1479.6,51
CUST009557,Limpopo,Municipality_D,Residential,House,Waste,2025-02-01,360.07,360.07,EFT,Paid,0,0
CUST009558,Gauteng,Municipality_B,Business,Apartment,Water,2025-03-01,2072.1,2072.1,Cash,Paid,0,0
CUST009559,Limpopo,Municipality_C,Residential,Apartment,Electricity,2025-04-01,859.55,525.5,EFT,Partial,334.05,36
CUST009560,Mpumalanga,Municipality_E,Residential,Apartment,Water,2025-05-01,626.06,626.06,Card,Paid,0,0
CUST009561,Limpopo,Municipality_D,Residential,Apartment,Waste,2025-06-01,247.77,247.77,Card,Paid,0,0
CUST009562,KwaZulu-Natal,Municipality_G,Residential,House,Waste,2025-07-01,245.97,245.97,EFT,Paid,0,0
CUST009563,Mpumalanga,Municipality_E,Residential,House,Electricity,2025-08-01,1402.38,728.93,Card,Partial,673.45,53
CUST009564,Limpopo,Municipality_C,Residential,Apartment,Electricity,2025-09-01,1616.86,1616.86,Card,Paid,0,0
CUST009565,Limpopo,Municipality_D,Residential,Apartment,Property Rates,2025-10-01,1243.62,1243.62,EFT,Paid,0,0
CUST009566,Limpopo,Municipality_D,Residential,Apartment,Electricity,2025-11-01,1051.16,1051.16,Card,Paid,0,0
CUST009567,Limpopo,Municipality_C,Residential,Apartment,Water,2025-12-01,920.2,920.2,EFT,Paid,0,0
CUST009568,KwaZulu-Natal,Municipality_G,Residential,House,Waste,2024-01-01,254.02,254.02,EFT,Paid,0,0
CUST009569,Gauteng,Municipality_B,Residential,Apartment,Waste,2024-02-01,415.88,415.88,EFT,Paid,0,0
CUST009570,Gauteng,Municipality_A,Residential,House,Water,2024-03-01,745.58,745.58,Card,Paid,0,0
CUST009571,Mpumalanga,Municipality_E,Business,Apartment,Electricity,2024-04-01,3470.22,3470.22,EFT,Paid,0,0
CUST009572,Gauteng,Municipality_B,Business,House,Water,2024-05-01,2064.55,2064.55,Card,Paid,0,0
CUST009573,Gauteng,Municipality_A,Residential,House,Water,2024-06-01,764.53,764.53,Card,Paid,0,0
CUST009574,Gauteng,Municipality_A,Residential,House,Electricity,2024-07-01,1355.41,1355.41,EFT,Paid,0,0
CUST009575,Limpopo,Municipality_D,Residential,House,Electricity,2024-08-01,1089.59,1089.59,EFT,Paid,0,0
CUST009576,Limpopo,Municipality_C,Residential,Apartment,Waste,2024-09-01,284.58,284.58,EFT,Paid,0,0
CUST009577,Limpopo,Municipality_C,Residential,House,Water,2024-10-01,692.45,0,None,Unpaid,692.45,272
CUST009578,Gauteng,Municipality_B,Residential,Apartment,Electricity,2024-11-01,1133.76,1133.76,Card,Paid,0,0
CUST009579,Gauteng,Municipality_A,Residential,Apartment,Electricity,2024-12-01,1498.15,925.81,Card,Partial,572.34,59
CUST009580,Limpopo,Municipality_C,Residential,Commercial,Water,2025-01-01,577.54,0,None,Unpaid,577.54,257
CUST009581,Gauteng,Municipality_A,Residential,House,Electricity,2025-02-01,1266.73,452.55,Card,Partial,814.18,6
CUST009582,Gauteng,Municipality_A,Residential,Apartment,Waste,2025-03-01,298.02,298.02,Cash,Paid,0,0
CUST009583,Gauteng,Municipality_B,Residential,House,Water,2025-04-01,928.59,928.59,Card,Paid,0,0
CUST009584,Limpopo,Municipality_D,Residential,House,Electricity,2025-05-01,1399.01,1399.01,Cash,Paid,0,0
CUST009585,Mpumalanga,Municipality_F,Business,House,Electricity,2025-06-01,3759.36,2198.87,Card,Partial,1560.49,39
CUST009586,Mpumalanga,Municipality_E,Residential,House,Water,2025-07-01,502.26,502.26,EFT,Paid,0,0
CUST009587,Limpopo,Municipality_C,Residential,Apartment,Waste,2025-08-01,307.81,192.91,Card,Partial,114.9,30
CUST009588,Gauteng,Municipality_B,Residential,House,Water,2025-09-01,858.07,315.94,EFT,Partial,542.13,17
CUST009589,KwaZulu-Natal,Municipality_H,Residential,House,Electricity,2025-10-01,1558.56,1558.56,Card,Paid,0,0
CUST009590,Gauteng,Municipality_A,Residential,Apartment,Water,2025-11-01,547.3,547.3,Card,Paid,0,0
CUST009591,Gauteng,Municipality_A,Residential,House,Water,2025-12-01,734.02,734.02,EFT,Paid,0,0
CUST009592,Limpopo,Municipality_D,Residential,Apartment,Water,2024-01-01,809.83,809.83,Cash,Paid,0,0
CUST009593,Limpopo,Municipality_C,Residential,House,Water,2024-02-01,496.6,295.47,Debit Order,Partial,201.13,38
CUST009594,Limpopo,Municipality_C,Residential,House,Water,2024-03-01,972.44,972.44,Card,Paid,0,0
CUST009595,Mpumalanga,Municipality_E,Residential,House,Water,2024-04-01,877.95,877.95,EFT,Paid,0,0
CUST009596,Gauteng,Municipality_B,Residential,Apartment,Waste,2024-05-01,413.87,167.4,Card,Partial,246.47,51
CUST009597,Gauteng,Municipality_A,Residential,Apartment,Water,2024-06-01,526.94,526.94,EFT,Paid,0,0
CUST009598,Limpopo,Municipality_C,Residential,House,Property Rates,2024-07-01,1266.79,1266.79,EFT,Paid,0,0
CUST009599,Limpopo,Municipality_D,Residential,House,Electricity,2024-08-01,1451.39,823.18,EFT,Partial,628.21,45
CUST009600,Gauteng,Municipality_B,Business,Apartment,Electricity,2024-09-01,3677.61,3677.61,EFT,Paid,0,0
CUST009601,Gauteng,Municipality_B,Business,House,Electricity,2024-10-01,4376.6,4376.6,EFT,Paid,0,0
CUST009602,Gauteng,Municipality_B,Residential,House,Electricity,2024-11-01,1581.67,1581.67,Cash,Paid,0,0
CUST009603,Limpopo,Municipality_D,Residential,House,Water,2024-12-01,808.9,0,None,Unpaid,808.9,313
CUST009604,Mpumalanga,Municipality_F,Residential,House,Electricity,2025-01-01,1562.19,1562.19,Debit Order,Paid,0,0
CUST009605,Limpopo,Municipality_C,Residential,House,Water,2025-02-01,935.94,935.94,Card,Paid,0,0
CUST009606,Limpopo,Municipality_D,Residential,Apartment,Electricity,2025-03-01,1486.59,1486.59,Card,Paid,0,0
CUST009607,Limpopo,Municipality_D,Residential,Apartment,Waste,2025-04-01,365.46,365.46,Cash,Paid,0,0
CUST009608,Limpopo,Municipality_D,Residential,House,Water,2025-05-01,847.59,847.59,EFT,Paid,0,0
CUST009609,Gauteng,Municipality_B,Residential,House,Property Rates,2025-06-01,703.72,198.94,Cash,Partial,504.78,11
CUST009610,Limpopo,Municipality_D,Business,Apartment,Electricity,2025-07-01,4600.55,2226.43,EFT,Partial,2374.12,4
CUST009611,Limpopo,Municipality_D,Residential,House,Electricity,2025-08-01,1480.54,313.45,Card,Partial,1167.09,15
